# OpenSignals Text File Format
# {"00:07:80:3B:46:63": {"sensor": ["EMG", "EMG", "EMG", "EMG", "EMG"], "device name": "00:07:80:3B:46:63", "column": ["nSeq", "DI", "CH1", "CH2", "CH3", "CH4", "CH5"], "sync interval": 2, "time": "13:2:7.970", "comments": "", "device connection": "BTH00:07:80:3B:46:63", "channels": [1, 2, 3, 4, 5], "date": "2017-4-28", "mode": 0, "digital IO": [0, 1], "firmware version": 770, "device": "biosignalsplux", "position": 0, "sampling rate": 1000, "label": ["CH1", "CH2", "CH3", "CH4", "CH5"], "resolution": [16, 16, 16, 16, 16], "special": [{}, {}, {}, {}, {}]}}
# EndOfHeader
0	0	32833	32815	32686	32903	32947	
1	0	32773	32695	32831	32763	32911	
2	0	32819	32619	32711	32663	32903	
3	0	32768	32581	32797	32793	32913	
4	0	32865	32643	32616	32705	32902	
5	0	32812	32614	32617	32655	32872	
6	0	32789	32611	32711	32803	32813	
7	0	32775	32595	32765	32755	32833	
8	0	32742	32588	32655	32687	32829	
9	0	32756	32657	32629	32898	32767	
10	0	32816	32599	32726	32839	32803	
11	0	32733	32571	32805	32879	32846	
12	0	32764	32563	32530	32751	32919	
13	0	32793	32583	32681	32758	32871	
14	0	32815	32467	32626	32850	32723	
15	0	32851	32513	32654	32914	32775	
16	0	32851	32391	32688	32717	32839	
17	0	32821	32341	32653	32647	32735	
18	0	32766	32291	32583	32616	32726	
19	0	32763	32315	32739	32902	32795	
20	0	32757	32337	32667	33205	32727	
21	0	32770	32429	32761	32895	32797	
22	0	32753	32423	32755	32759	32775	
23	0	32677	32422	32697	32743	32842	
24	0	32626	32429	32937	32719	32839	
25	0	32680	32449	32919	32767	32727	
26	0	32676	32455	32973	32731	32698	
27	0	32805	32434	32927	32669	32805	
28	0	32825	32479	32678	32601	32743	
29	0	32724	32631	32751	32671	32885	
30	0	32848	32640	32687	32627	32863	
31	0	32770	32691	32653	32775	32912	
32	0	32805	32739	32614	32909	32928	
33	0	32860	32775	32402	33003	32943	
34	0	32907	32707	32479	32899	32884	
35	0	32824	32631	32471	32731	32975	
36	0	32832	32583	32533	32775	32945	
37	0	32836	32551	32415	32817	32999	
38	0	32816	32579	32647	32873	32967	
39	0	32801	32726	32625	32641	32935	
40	0	32722	32699	32721	32775	32839	
41	0	32736	32583	32583	32817	32817	
42	0	32771	32611	32676	32775	32863	
43	0	32765	32437	32755	32799	32903	
