OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
0.111649,-0.013229,0.017441,0.008194,0.002060
0.094482,-0.007736,-0.026779,0.001785,0.003433
0.108948,-0.022018,-0.007416,0.006683,0.009842
0.063812,-0.023117,0.017120,0.001694,0.006821
0.012131,-0.033279,-0.007187,0.000961,-0.002975
-0.031998,-0.030487,-0.022018,0.003525,-0.004211
-0.062988,-0.035110,0.015564,-0.000412,-0.003891
-0.098145,-0.026596,0.016937,0.002060,-0.002243
-0.074982,-0.011765,0.016159,-0.002975,0.002151
-0.027008,0.005630,-0.011124,0.002701,0.006180
0.066193,0.004532,-0.125656,-0.002106,0.009109
0.086060,0.005493,-0.167633,0.003250,0.007919
0.037857,0.002151,-0.155228,-0.003387,0.004715
0.019592,0.002060,-0.059738,0.002426,0.001694
0.018219,0.005219,0.026093,0.009064,-0.001511
0.026642,-0.007324,0.077225,0.015518,-0.002975
-0.018356,0.003937,0.089447,0.003525,-0.000961
-0.036530,0.002518,0.036530,-0.003708,0.000320
-0.035889,0.015793,0.047195,-0.010529,0.005173
-0.042480,0.015976,0.115265,-0.014328,0.004898
-0.077087,0.017120,0.186447,-0.008743,0.004257
-0.109863,0.015152,0.229111,-0.004807,0.002930
-0.082489,0.012314,0.181778,-0.002609,0.007278
-0.070679,-0.001694,0.021515,0.003204,0.008743
-0.054474,-0.010712,-0.207321,0.013504,0.005585
0.000870,-0.011948,-0.179123,0.001785,-0.005356
0.051727,-0.022705,-0.224625,0.006180,-0.003616
0.125793,-0.023209,-0.246414,0.003067,-0.003616
0.150009,-0.027878,-0.208603,0.002060,0.002609
0.098511,-0.021378,-0.132065,0.002701,0.006683
-0.001328,-0.013870,-0.094711,0.000320,0.009109
-0.048615,-0.004211,-0.127991,-0.001053,-0.000412
-0.056763,0.000320,-0.000412,-0.004349,0.002930
-0.057678,0.009293,0.118744,-0.004807,0.006454
-0.056396,0.012039,0.153076,-0.003571,-0.004303
-0.045822,0.013779,0.153671,-0.000961,0.006180
-0.003571,0.006363,0.142593,0.001785,0.005905
0.030167,0.007599,0.101486,0.000320,0.004578
0.022568,0.001511,0.123688,-0.000870,0.009109
0.001877,-0.002609,0.130234,0.002151,0.008011
-0.017899,-0.007095,0.019135,-0.000229,0.005447
-0.027008,-0.013321,-0.139389,0.006180,-0.001602
-0.020874,-0.011215,-0.225494,0.003067,0.004578
0.022339,-0.000778,-0.213638,0.004257,0.008789
0.072281,-0.001144,-0.121628,0.002243,0.002975
0.093521,-0.004807,0.054611,0.001236,0.005081
0.032547,-0.015976,0.206863,0.003159,0.006546
-0.001373,-0.018356,0.247787,0.000320,0.008926
-0.035248,-0.017624,0.219864,-0.002060,0.009842
-0.053101,-0.030350,0.151199,0.002472,0.008469
-0.070450,-0.016891,-0.012405,0.002701,0.005722
-0.043625,-0.014603,-0.135269,-0.009109,-0.002609
